sector_52,sector_name,x_k
2,HortiCrops,-0.8780009090324512
3,Estates,0.22714337365315956
6,Forestry,0.1670210655902582
7,Fishery,0.4421093938193908
8,Coal,0.2301809149354447
9,OilGasGeo,0.9329142978915381
10,IronOre,0.1685176800654706
12,FoodMan,0.15323778767177892
13,Tobacco,0.29853777293389144
14,Textiles,0.2656889454656882
15,Leather,0.18490718027000752
16,WoodProd,0.10459633874775595
17,PaperProd,0.2050071486899466
18,NonMetalProd,-0.18510896827595968
19,CoalOilMan,0.5144339986004177
20,Chemical,0.2675355147925469
21,Rubber,0.23657638184203247
22,BasicMetal,0.3471588466191442
23,MetalProd,0.4397838056047595
24,Machinery,0.29115361796853095
25,TranspEquip,-0.6666680946110349
26,Furniture,0.25235239475044124
27,OtherMan,0.061898390189151775
