country,d_g
ABW,-0.28000000000000025
AGO,0.22399999999999975
ALB,-0.06800000000000006
AND,0.5
ARE,-1.8859999999999997
ARG,-1.0199999999999996
ARM,0.7999999999999998
ATG,0.05900000000000016
AUS,-0.07799999999999985
AUT,-0.07500000000000007
AZE,-0.29800000000000004
BDI,1.2109999999999999
BEL,-0.269
BEN,0.8140000000000001
BFA,0.3720000000000008
BGD,-1.83
BGR,0.1469999999999998
BHR,-3.494
BHS,0.40000000000000013
BIH,-0.7999999999999998
BLR,-0.784
BLZ,-0.2999999999999998
BRA,-0.08400000000000007
BRB,0.20000000000000018
BRN,-0.04800000000000004
BTN,0.5
BWA,2.423
CAF,-0.5459999999999998
CAN,-0.05800000000000005
CHE,-0.31099999999999994
CHL,0.21799999999999997
CHN,0.4430000000000005
CIV,-0.20000000000000018
CMR,-0.718
COD,0.7290000000000001
COG,-0.3660000000000001
COL,-0.3250000000000002
COM,-0.2240000000000002
CPV,-0.11399999999999988
CRI,0.16599999999999993
CYP,0.3370000000000002
CZE,0.40800000000000014
DEU,-0.122
DJI,0.4900000000000002
DMA,-0.1639999999999997
DNK,0.15500000000000003
DOM,-1.088
DZA,0.7959999999999998
ECU,0.383
EGY,-0.08800000000000008
ESP,0.28300000000000014
EST,-0.42500000000000004
ETH,2.092999999999999
FIN,-0.405
FJI,-0.44700000000000006
FRA,-0.11499999999999988
GAB,0.09699999999999998
GBR,-0.607
GEO,0.2999999999999998
GHA,0.006999999999999673
GIN,-1.9090000000000007
GMB,0.07200000000000006
GNB,-0.09999999999999964
GRC,0.04500000000000015
GRD,-0.21399999999999997
GTM,0.10000000000000009
GUY,-6.751000000000001
HKG,0.5369999999999999
HND,-0.10000000000000009
HRV,-0.137
HTI,-2.7
HUN,-0.8499999999999999
IDN,0.3259999999999996
IND,0.23500000000000032
IRL,0.387
IRN,-7.204
IRQ,-8.239
ISL,-0.5
ISR,-0.10000000000000009
ITA,-0.33499999999999996
JAM,-2.8
JOR,-0.19999999999999973
JPN,0.121
KAZ,0.34299999999999997
KEN,-0.38900000000000023
KGZ,0.8339999999999996
KHM,0.593
KIR,-0.12199999999999989
KOR,0.45299999999999985
KWT,-3.729
LAO,2.048
LBR,-0.42900000000000027
LBY,2.415
LSO,-0.34399999999999986
LTU,0.44099999999999984
LUX,-0.6149999999999998
LVA,-0.28200000000000003
MAC,-0.5219999999999998
MAR,1.1540000000000004
MDG,-0.6060000000000003
MDV,-1.3390000000000004
MEX,0.22999999999999998
MHL,-0.3700000000000001
MKD,-0.10000000000000009
MLI,0.40000000000000036
MLT,-0.19999999999999973
MMR,0.948
MNG,-0.5990000000000002
MOZ,-3.024
MRT,0.6860000000000004
MUS,0.3999999999999999
MWI,-2.0999999999999996
MYS,0.9000000000000004
NAM,-1.306
NER,0.0
NGA,1.3749999999999996
NIC,0.6999999999999997
NLD,-0.21599999999999997
NOR,-0.21999999999999997
NPL,-2.4829999999999997
NRU,0.4680000000000002
NZL,-0.6219999999999999
OMN,-0.14500000000000002
PAK,0.04700000000000015
PAN,-0.20000000000000018
PER,0.18999999999999995
PHL,-1.6600000000000001
PLW,-0.20500000000000007
PNG,0.2999999999999998
POL,0.19899999999999984
PRI,0.0
PRT,0.23299999999999987
PRY,0.7000000000000002
QAT,-14.218
ROU,-2.059
RUS,0.2350000000000001
RWA,-0.2759999999999998
SAU,-0.6419999999999999
SDN,-8.118
SEN,-1.8890000000000002
SGP,1.621
SLB,-0.028000000000000025
SLE,-0.351
SLV,0.7849999999999997
SMR,0.0
SOM,-1.4999999999999996
SRB,-1.4340000000000002
SSD,-60.367
STP,-1.4300000000000002
SUR,0.18199999999999994
SVK,-1.1059999999999999
SVN,-0.3999999999999999
SWE,-0.16800000000000015
SWZ,-0.931
SYC,-1.996
TCD,2.027
TGO,-0.5
THA,-0.10000000000000009
TJK,1.04
TKM,0.2549999999999999
TLS,0.8999999999999995
TON,-0.04100000000000037
TTO,-0.29400000000000004
TUN,0.683
TUR,0.20900000000000007
TUV,0.17700000000000005
TWN,2.701
UGA,-0.13199999999999967
UKR,-2.5
URY,-0.8
USA,0.5559999999999998
UZB,0.6920000000000002
VEN,9.5
VNM,3.053
VUT,1.4060000000000001
WSM,0.6320000000000001
YEM,0.5
ZAF,-0.2889999999999999
ZMB,-2.5170000000000003
ZWE,0.3600000000000003
